claim_id,evidence_family,audit_status,reviewer_cut,observed,source_artifact,manuscript_use
C1,finite tie-aware selected-utility law,strongly_supported,mean exact-law MAE <= 0.006,0.000463,results/tables/exact_law_validation.csv,theorem validation; not an object-specific novelty claim
C2,raw selected-tail object binding collapse,strongly_supported,"score gain >= 0.35, utility drop >= 0.15, identity error >= 0.75",score gain 0.576; utility drop 0.364; identity error 1.000,results/tables/main_metrics.csv,central object-slot failure claim
C2,good-scene negative control,strongly_supported,good scenes retain useful utility and low identity error,utility 0.655; identity error 0.125,results/tables/negative_control.csv,separates selection pressure from generic high-N harm
C2,dense and extreme object-count collapse,strongly_supported,OOD and 10/12-object corrupted variants collapse under raw high-N,dense raw utility 0.036; extreme raw utility 0.026,results/tables/ood_metrics.csv; results/tables/extreme_object_count_metrics.csv,"scope stress, not broad benchmark superiority"
C2,retargeting and target-identity sweep,strongly_supported,failure cannot depend on object zero being the target,target-sweep raw utility 0.0001; identity error 1.000,results/tables/counterfactual_target_metrics.csv; results/tables/target_identity_sweep_metrics.csv,"object identity is a variable, not a hard-coded label"
C3,deployable no-leak pilot-label LCB repair,partial,budget-32 gap closure >= 70% for strong claim,68.4\%,results/tables/repair_final_test_metrics.csv,reported as partial because it misses the strong threshold
C3,support-covered repair,strong_controlled_support,"budget-32 >= 80%, budget-128 >= 85%",budget 32 91.9\%; budget 128 91.9\%,results/tables/repair_robustness_by_split.csv,"controlled repair support, explicitly not deployable proof"
C3,observable repair and ablation,strong_controlled_support,observable repair nearly matches combined; combined beats best single ablation,observable gain 0.880; combined vs best single 0.277,results/tables/observable_repair_metrics.csv; results/tables/repair_ablation.csv,mechanism evidence for object diagnostics
C3,deployment gate policy simulation,strong_controlled_support,gate beats raw high-N and stop-early fallback on corrupted scenarios,vs raw 0.788; vs stop-early 0.537; min win 93.8\%,results/tables/deployment_policy_metrics.csv,policy simulation inside generator only
C3,"pilot, noisy-probe, probe-cost stress",strong_controlled_support,"positive utility after held-out pilot labels, noisy probes, and probe costs",pilot gain 0.819; noisy-probe gain 0.867; high-cost gain 0.567,results/tables/pilot_calibration_metrics.csv; results/tables/noisy_probe_metrics.csv; results/tables/probe_cost_metrics.csv,deployment-friction sensitivity
C4,CPU NumPy learned object-slot model,strongly_supported,"property/identity margins, transition ratio, reward correlation pass",property margin 0.246; identity margin 0.488; reward corr 0.953,results/tables/learned_metrics.csv,"semi-learned controlled artifact, not modern benchmark claim"
C4,learned selection and learned repair transfer,strongly_supported,learned identity+reward and learned repair policy transfer on held-out variants,identity vs raw 0.658; repair vs raw 0.823; repair vs learned identity 0.225,results/tables/learned_selection_metrics.csv; results/tables/learned_repair_policy_metrics.csv,object features matter under selected-tail transfer
